Given data:

0.47 5.49 0.26
1.41 4.08 0.12
2.36 3.54 0.27
3.3 2.61 0.1
4.24 2.09 0.15
5.18 1.91 0.11
6.13 1.55 0.13
7.07 1.47 0.07
8.01 1.45 0.15
8.95 1.25 0.09


Calculated data:

0 6.21413
0.1 6.02918
0.2 5.85091
0.3 5.67905
0.4 5.5134
0.5 5.35371
0.6 5.19978
0.7 5.05141
0.8 4.90838
0.9 4.7705
1 4.6376
1.1 4.50949
1.2 4.386
1.3 4.26696
1.4 4.15221
1.5 4.0416
1.6 3.93497
1.7 3.83219
1.8 3.73312
1.9 3.63761
2 3.54555
2.1 3.45681
2.2 3.37127
2.3 3.28881
2.4 3.20933
2.5 3.13271
2.6 3.05885
2.7 2.98765
2.8 2.91903
2.9 2.85287
3 2.7891
3.1 2.72763
3.2 2.66838
3.3 2.61126
3.4 2.5562
3.5 2.50313
3.6 2.45197
3.7 2.40265
3.8 2.35511
3.9 2.30929
4 2.26512
4.1 2.22254
4.2 2.18149
4.3 2.14193
4.4 2.10379
4.5 2.06703
4.6 2.03159
4.7 1.99743
4.8 1.9645
4.9 1.93275
5 1.90216
5.1 1.87266
5.2 1.84423
5.3 1.81683
5.4 1.79041
5.5 1.76494
5.6 1.74039
5.7 1.71673
5.8 1.69392
5.9 1.67193
6 1.65074
6.1 1.63031
6.2 1.61061
6.3 1.59163
6.4 1.57333
6.5 1.55569
6.6 1.53869
6.7 1.5223
6.8 1.5065
6.9 1.49126
7 1.47658
7.1 1.46243
7.2 1.44879
7.3 1.43564
7.4 1.42296
7.5 1.41074
7.6 1.39897
7.7 1.38761
7.8 1.37667
7.9 1.36612
8 1.35595
8.1 1.34614
8.2 1.3367
8.3 1.32759
8.4 1.31881
8.5 1.31034
8.6 1.30218
8.7 1.29432
8.8 1.28674
8.9 1.27943
9 1.27238
9.1 1.26559
9.2 1.25905
9.3 1.25274
9.4 1.24666
9.5 1.24079
9.6 1.23514
9.7 1.22969
9.8 1.22444
9.9 1.21938
10 1.2145
